split,filename,titulo,etiquetas_rostro,etiquetas_cabello,etiquetas_otras,clases_idx,analisis,page_url,imagen_local
train,spike-fearns-hair-shag-mullet__00.jpg,Spike Fearns Hair Shag Mullet,Round Face Shape,Fine|Medium|Texture|Wavy,Celebrity|Fringe|Mullet,14|1|2|6|8,"He might be a relatively new kid on the block when it comes to starring on the big screen(catch him in Alien: Romulus),but Spike Fearn’s hair has got our attention.",https://manforhimself.com/mens-hairstyles/spike-fearns-hair-shag-mullet/,dataset_cryai/images/spike-fearns-hair-shag-mullet__00.jpg
train,jordan-barrett-textured-shaggy-mullet__00.jpg,Jordan Barrett Textured Shaggy Mullet,Long|Square Face Shape,Straight|Texture,Celebrity|Fringe|Mullet,10|15|5|6,"Jordan Barrett’stexturedshaggymullet(or shullet, as MFH has dubbed it) is just the kind of boyband-friendly look the kids are going crazy for these days.",https://manforhimself.com/mens-hairstyles/jordan-barrett-textured-shaggy-mullet/,dataset_cryai/images/jordan-barrett-textured-shaggy-mullet__00.jpg
train,george-russell-90s-style-curtain-haircut__00.jpeg,George Russell 90S Style Curtain Haircut,Oval Face Shape,Short|Thick,90s Throwback|Brown|Celebrity|Centre Part|Fringe|Scissor Cut,12|4|7,"With the search term “George Russell new hair” having 45.8m views, you can safely say the F1 driver’s90s throwbackcurtain haircutis racing up the most-wanted lists at salons everywhere.",https://manforhimself.com/mens-hairstyles/george-russell-90s-style-curtain-haircut/,dataset_cryai/images/george-russell-90s-style-curtain-haircut__00.jpeg
train,christopher-briney-90s-inspired-curtains-haircut__00.jpeg,Christopher Briney 90S Inspired Curtains Haircut,Oval Face Shape,Wavy,90s Throwback|Celebrity|Scissor Cut,12|8,Christopher Briney’s90s inspiredcurtains haircut is a winner for its low-maintenance versatility and movement.,https://manforhimself.com/mens-hairstyles/christopher-briney-90s-inspired-curtains-haircut/,dataset_cryai/images/christopher-briney-90s-inspired-curtains-haircut__00.jpeg
train,louis-tomlinson-textured-mop-top-with-fringe__00.jpg,Louis Tomlinson Textured Mop Top With Fringe,Oval Face Shape,Texture|Thick,90s Throwback|Brown|Celebrity|Fringe|Scissor Cut,12|6|7,Louis Tomlinson’stexturedmop top withfringeis a more grown up look for the Brit boy who has just gone to battle with Bruce Springsteen in the UK charts…and won.,https://manforhimself.com/mens-hairstyles/louis-tomlinson-textured-mop-top-with-fringe/,dataset_cryai/images/louis-tomlinson-textured-mop-top-with-fringe__00.jpg
train,drew-starkeys-hair-mini-mullet-with-textured-fringe__00.jpg,Drew Starkeys Hair Mini Mullet With Textured Fringe,Oval Face Shape,Fine|Medium|Straight|Texture,Brown|Celebrity|Fringe|Mullet,12|1|2|5|6,"On a scale of safe to hipster, Drew Starkey’s hair is more towards the latter end.",https://manforhimself.com/mens-hairstyles/drew-starkeys-hair-mini-mullet-with-textured-fringe/,dataset_cryai/images/drew-starkeys-hair-mini-mullet-with-textured-fringe__00.jpg
train,nicholas-hoult-square-shaped-tapered-hairstyle__00.jpg,Nicholas Hoult Square Shaped Tapered Hairstyle,Rectangle Face Shape,Short|Straight,Brown|Celebrity|taper,13|4|5,"Nicholas Hoult keeps things classic with this short, tapered hairstyle. Worn slightly brushed to the side, this sort of style works really well with naturallystraighthair.",https://manforhimself.com/mens-hairstyles/nicholas-hoult-square-shaped-tapered-hairstyle/,dataset_cryai/images/nicholas-hoult-square-shaped-tapered-hairstyle__00.jpg
train,ryan-gosling-short-textured-cut-with-honey-blonde-highlights__00.jpg,Ryan Gosling Short Textured Cut With Honey Blonde Highlights,Oval Face Shape,Short|Texture,Blonde|Celebrity|Dyed,12|4|6,"Often called ‘the most stylish man in Hollywood’, MFH reckons Ryan Gosling’s haircut is part of the reason for that acclaim.",https://manforhimself.com/mens-hairstyles/ryan-gosling-short-textured-cut-with-honey-blonde-highlights/,dataset_cryai/images/ryan-gosling-short-textured-cut-with-honey-blonde-highlights__00.jpg
train,joshua-jackson-softly-brushed-back-back-curly-hair__00.jpg,Joshua Jackson Softly Brushed Back Back Curly Hair,Round Face Shape,Curly|Fine|Texture|Wavy,Beard|Brown|Celebrity,14|0|1|6|8,"Joshua Jackson’s softlybrushed-back,curly hairis a very flattering hairstyle for the 44-year-old actor.",https://manforhimself.com/mens-hairstyles/joshua-jackson-softly-brushed-back-back-curly-hair/,dataset_cryai/images/joshua-jackson-softly-brushed-back-back-curly-hair__00.jpg
train,chris-hemsworth-textured-highlighted-hairstyle__00.jpeg,Chris Hemsworth Textured Highlighted Hairstyle,Square Face Shape,Fine|Short|Straight|Texture,Blonde|Brown|Celebrity|Dyed,15|1|4|5|6,"Chris Hemsworth’stextured,highlightedhairstyle is a great short cut if you’re an active person and don’t want the faff of having to use loads of product and style it.",https://manforhimself.com/mens-hairstyles/chris-hemsworth-textured-highlighted-hairstyle/,dataset_cryai/images/chris-hemsworth-textured-highlighted-hairstyle__00.jpeg
train,leonardo-dicaprio-inspired-hairstyle__00.jpg,Leonardo Dicaprio Inspired Hairstyle,Long|Triangle Face Shape,Straight|Thick,Valerio Federico,10|16|5|7,"Leonardo DiCaprio, is that you? 90s hair at its best – thick, full and slicked back.",https://manforhimself.com/mens-hairstyles/leonardo-dicaprio-inspired-hairstyle/,dataset_cryai/images/leonardo-dicaprio-inspired-hairstyle__00.jpg
train,donald-glover-shaved-head__00.jpg,Donald Glover Shaved Head,Round Face Shape,,Afro|Celebrity|Classic|Shaved Head,14,"While some fan forums have been gossiping about the reason’s behind Donald Glover’sshaved head(aka that he’s had areceding hairlinefor a while), MFH thinks he looks good regardless.",https://manforhimself.com/mens-hairstyles/donald-glover-shaved-head/,dataset_cryai/images/donald-glover-shaved-head__00.jpg
train,paul-mescal-modern-mullet-hairstyle__00.jpg,Paul Mescal Modern Mullet Hairstyle,Oval Face Shape,Curly|Medium|Wavy,Brown|Celebrity|Mullet|Scissor Cut,12|0|2|8,"Themodern mullethas made a strong comeback, and Paul Mescal’s take on the style is a masterclass in effortless cool. The soft, natural curls on top contrast with the subtle length at the back, giving it a retro-inspired yet wearable appeal. This style works particularly well for men withwavyorcurlyhair, adding movement and definition. It’s an excellent choice for those who want a bold but laid-back look.",https://manforhimself.com/mens-hairstyles/paul-mescal-modern-mullet-hairstyle/,dataset_cryai/images/paul-mescal-modern-mullet-hairstyle__00.jpg
train,colman-domingos-hair-textured-crop-with-low-fade__00.jpg,Colman Domingos Hair Textured Crop With Low Fade,Oval Face Shape,Curly|Short|Texture|Thick,Afro|Black|Celebrity|crop|Fade,12|0|4|6|7,Man For Himself is run by Robin James – men’s grooming and lifestyle creator.,https://manforhimself.com/mens-hairstyles/colman-domingos-hair-textured-crop-with-low-fade/,dataset_cryai/images/colman-domingos-hair-textured-crop-with-low-fade__00.jpg
train,short-textured-mullet__00.jpg,Short Textured Mullet,Triangle Face Shape,Normal|Short|Straight,Mullet|Valerio Federico,16|3|4|5,So much texture. A really great men’s haircut if you want something short but edgy!,https://manforhimself.com/mens-hairstyles/short-textured-mullet/,dataset_cryai/images/short-textured-mullet__00.jpg
train,machine-gun-kelly-bleached-blonde-sweeping-fringe-hairstyle__00.jpg,Machine Gun Kelly Bleached Blonde Sweeping Fringe Hairstyle,Diamond Face Shape,Normal|Straight,Blonde|Celebrity|Dyed,9|3|5,"Never one to be afraid of experimenting with different hair colours, Machine Gun Kelly’s latest look is adyedbleachedblondehue especially with a  side sweeping fringe and choppy disconnected cut.",https://manforhimself.com/mens-hairstyles/machine-gun-kelly-bleached-blonde-sweeping-fringe-hairstyle/,dataset_cryai/images/machine-gun-kelly-bleached-blonde-sweeping-fringe-hairstyle__00.jpg
train,wavy-mullet__00.jpg,Wavy Mullet,Rectangle Face Shape,Curly|Wavy,Dylan Christie|Mullet|Thin,13|0|8,"The mullet is back in a big way! Working with naturally curly hair, this haircut and hairstyle is full of texture and movement.",https://manforhimself.com/mens-hairstyles/wavy-mullet/,dataset_cryai/images/wavy-mullet__00.jpg
train,steve-carell-grey-side-swept-crew-cut-hairstyle-with-beard__00.jpeg,Steve Carell Grey Side Swept Crew Cut Hairstyle With Beard,Round Face Shape,Short|Straight,Beard|Celebrity|Classic|Grey|Scissor Cut|Side Part,14|4|5,Steve Carell’sgreyside swept crew cut with a beard is as classic and timeless as the actor himself.,https://manforhimself.com/mens-hairstyles/steve-carell-grey-side-swept-crew-cut-hairstyle-with-beard/,dataset_cryai/images/steve-carell-grey-side-swept-crew-cut-hairstyle-with-beard__00.jpeg
train,jason-momoa-man-bun-with-undercut__00.jpg,Jason Momoa Man Bun With Undercut,Long|Oval Face Shape,Fine|Wavy,Celebrity|Undercut,10|12|1|8,"Jason Momoa’sman bunwithundercutis a big moment for the man with the kind of hair that makes him look like Polynesian god. Or, y’know, Aquaman.",https://manforhimself.com/mens-hairstyles/jason-momoa-man-bun-with-undercut/,dataset_cryai/images/jason-momoa-man-bun-with-undercut__00.jpg
train,troye-sivans-hair-curly-highlights__00.jpg,Troye Sivans Hair Curly Highlights,Oval Face Shape,Curly|Fine|Short|Texture,Blonde|Celebrity|Dyed,12|0|1|4|6,"Troye Sivan’s hair has form: he was one of the first celebs to rock acurly mini mullet, after setting serious trends with thislonger 80s-influenced style.",https://manforhimself.com/mens-hairstyles/troye-sivans-hair-curly-highlights/,dataset_cryai/images/troye-sivans-hair-curly-highlights__00.jpg
train,manny-jacinto-hair-tousled-side-part-hairstyle__00.jpg,Manny Jacinto Hair Tousled Side Part Hairstyle,Square Face Shape,Medium|Texture,Celebrity|Side Part,15|2|6,Man For Himself is run by Robin James – men’s grooming and lifestyle creator.,https://manforhimself.com/mens-hairstyles/manny-jacinto-hair-tousled-side-part-hairstyle/,dataset_cryai/images/manny-jacinto-hair-tousled-side-part-hairstyle__00.jpg
